"filename", "language", "Docker", "JSON", "YAML", "Markdown", "Skill", "HTML", "Ignore", "Python", "PowerShell", "Shell Script", "comment", "blank", "total"
"c:\C_C++_C#\Vacancies\Nornickel-hack\Dockerfile", "Docker", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"c:\C_C++_C#\Vacancies\Nornickel-hack\README.md", "Markdown", 0, 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 59, 252
"c:\C_C++_C#\Vacancies\Nornickel-hack\TEAM_STATUS.md", "Markdown", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 3, 30, 120
"c:\C_C++_C#\Vacancies\Nornickel-hack\data\documents.json", "JSON", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"c:\C_C++_C#\Vacancies\Nornickel-hack\data\experiments.json", "JSON", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 106
"c:\C_C++_C#\Vacancies\Nornickel-hack\data\reference.json", "JSON", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 105
"c:\C_C++_C#\Vacancies\Nornickel-hack\docker-compose.yml", "YAML", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 3, 58
"c:\C_C++_C#\Vacancies\Nornickel-hack\docs\ARCHITECTURE.md", "Markdown", 0, 0, 0, 237, 0, 0, 0, 0, 0, 0, 0, 94, 331
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3, 6
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\agents\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 3, 16
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\agents\extraction_agent.py", "Python", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 29, 15, 96
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\agents\hypothesis_factory.py", "Python", 0, 0, 0, 0, 0, 0, 0, 210, 0, 0, 5, 31, 246
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\agents\hypothesis_tools.py", "Python", 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 7, 14, 136
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\api\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\api\materials_core.py", "Python", 0, 0, 0, 0, 0, 0, 0, 739, 0, 0, 4, 92, 835
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\config\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 6, 38
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\config\settings.py", "Python", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 11, 26, 120
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\domain\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 1, 3, 72
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\domain\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 39, 118, 500
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\domain\resolution.py", "Python", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 4, 11, 32
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\ingestion\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 3, 16
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\ingestion\adapters.py", "Python", 0, 0, 0, 0, 0, 0, 0, 544, 0, 0, 7, 48, 599
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\llm_core\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\llm_core\extraction.py", "Python", 0, 0, 0, 0, 0, 0, 0, 531, 0, 0, 19, 62, 612
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\llm_core\fallback.py", "Python", 0, 0, 0, 0, 0, 0, 0, 133, 0, 0, 23, 23, 179
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\llm_core\provider.py", "Python", 0, 0, 0, 0, 0, 0, 0, 434, 0, 0, 34, 65, 533
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\llm_core\token_budget.py", "Python", 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 18, 27, 151
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\repositories\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 2, 9
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\repositories\factory.py", "Python", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 6, 9, 45
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\repositories\memory.py", "Python", 0, 0, 0, 0, 0, 0, 0, 269, 0, 0, 2, 30, 301
